date,mm_long,mm_short,mm_net,open_interest
2015-03-24,98784,87349,11435,433767
2015-03-31,103808,67752,36056,387585
2015-04-07,112747,57072,55675,390571
2015-04-14,110439,62390,48049,395089
2015-04-21,108259,60134,48125,397379
2015-04-28,114952,64369,50583,403575
2015-05-05,98957,76100,22857,399988
2015-05-12,104207,76488,27719,405612
2015-05-19,132306,53689,78617,428597
2015-05-26,125069,58825,66244,411961
2015-06-02,125229,63482,61747,398724
2015-06-09,121125,83486,37639,406069
2015-06-16,124527,89529,34998,415718
2015-06-23,124843,84927,39916,430978
2015-06-30,115188,99565,15623,442301
2015-07-07,111482,109383,2099,452145
2015-07-14,108413,109536,-1123,462664
2015-07-21,106297,119853,-13556,459760
2015-07-28,106284,120917,-14633,438282
2015-08-04,103573,114860,-11287,434273
2015-08-11,108507,113937,-5430,435489
2015-08-18,112075,104158,7917,432728
2015-08-25,119456,78842,40614,432154
2015-09-01,112641,72044,40597,410274
2015-09-08,112684,85859,26825,421732
2015-09-15,104300,95493,8807,413333
2015-09-22,107531,86702,20829,419304
2015-09-29,112633,72069,40564,415700
2015-10-06,115414,69576,45838,430228
2015-10-13,128350,51137,77213,435928
2015-10-20,156199,39855,116344,467792
2015-10-27,147660,33568,114092,466780
2015-11-03,116702,49495,67207,443900
2015-11-10,91880,75011,16869,436426
2015-11-17,90510,104433,-13923,435376
2015-11-24,91059,107723,-16664,397705
2015-12-01,89982,110548,-20566,390940
2015-12-08,92488,109910,-17422,394128
2015-12-15,83617,110836,-27219,390944
2015-12-22,79979,100041,-20062,405294
2015-12-29,76071,103272,-27201,401880
2016-01-05,79732,95659,-15927,413688
2016-01-12,82908,82816,92,397565
2016-01-19,84054,83615,439,408835
2016-01-26,95745,78942,16803,385350
2016-02-02,100566,71530,29036,379185
2016-02-09,121059,60423,60636,410833
2016-02-16,126219,45206,81013,428912
2016-02-23,141373,32276,109097,445290
2016-03-01,133823,29453,104370,450555
2016-03-08,160317,32890,127427,499110
2016-03-15,159202,29425,129777,493086
2016-03-22,174457,29558,144899,510579
2016-03-29,184135,29930,154205,480461
2016-04-05,186716,33958,152758,474094
2016-04-12,202500,31866,170634,504523
2016-04-19,208661,34554,174107,503331
2016-04-26,206476,34426,172050,497884
2016-05-03,248842,29947,218895,565774
2016-05-10,246782,35591,211191,579777
2016-05-17,247059,34618,212441,595077
2016-05-24,205180,48719,156461,542958
